,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,total_loss,style_loss,content_loss
13,1.3,0.02166666666666666,0.02166666666666666,0.02166666666666666,0.02166666666666666,0.02166666666666666,26259702.367242772,24166332.643280663,2093369.5795833333
14,1.4,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,0.02333333333333333,26209926.157242775,24372971.856624786,1836954.35625
15,1.5,0.025,0.025,0.025,0.025,0.025,25949675.38057611,24104617.84327101,1845057.6395833336
16,1.6,0.02666666666666666,0.02666666666666666,0.02666666666666666,0.02666666666666666,0.02666666666666666,26085323.107242774,24317982.443299644,1767340.6754166665
17,1.7,0.028333333333333332,0.028333333333333332,0.028333333333333332,0.028333333333333332,0.028333333333333332,25939443.56724277,24093579.536610596,1845864.1716666669
18,1.8,0.03,0.03,0.03,0.03,0.03,26060219.270576112,24282148.656613294,1778070.72
19,1.9,0.03166666666666666,0.03166666666666666,0.03166666666666666,0.03166666666666666,0.03166666666666666,26045000.600576106,24306100.86994771,1738899.646666667
20,2.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,26205285.897242777,24516179.1899396,1689106.7383333333
21,2.1,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.034999999999999996,26394921.667242773,24705380.109935667,1689541.4220833331
22,2.2,0.03666666666666666,0.03666666666666666,0.03666666666666666,0.03666666666666666,0.03666666666666666,26339829.777242772,24678693.62994454,1661136.11125
23,2.3,0.03833333333333333,0.03833333333333333,0.03833333333333333,0.03833333333333333,0.03833333333333333,26736658.553909443,25114557.41662698,1622101.0550000002
24,2.4,0.04,0.04,0.04,0.04,0.04,26418372.097242776,24708518.416602492,1709853.7899999998
25,2.5,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,26580706.413909443,24940999.90994145,1639706.5533333332
26,2.6,0.04333333333333333,0.04333333333333333,0.04333333333333333,0.04333333333333333,0.04333333333333333,26106100.777242772,24449824.403291643,1656276.4558333333
27,2.7,0.045,0.045,0.045,0.045,0.045,26328338.800576106,24723149.843298163,1605188.8879166667
28,2.8,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,25924927.097242776,24265854.81661892,1659072.2925
29,2.9,0.048333333333333325,0.048333333333333325,0.048333333333333325,0.048333333333333325,0.048333333333333325,25985318.877242774,24419340.803295292,1565978.0729166665
30,3.0,0.05,0.05,0.05,0.05,0.05,25716683.06390944,24046570.789977115,1670112.2583333333
31,3.1,0.05166666666666667,0.05166666666666667,0.05166666666666667,0.05166666666666667,0.05166666666666667,25758640.76390944,24163444.523328606,1595196.2641666667
32,3.2,0.05333333333333333,0.05333333333333333,0.05333333333333333,0.05333333333333333,0.05333333333333333,25487520.23057611,23956039.09664976,1531481.1333333333
33,3.3,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.05500000000000001,25582017.33057611,24105912.176642116,1476105.2275
34,3.4,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.056666666666666664,25372483.38057611,23874282.696635216,1498200.69
35,3.5,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,25564717.800576106,24079903.816662956,1484813.8433333333
36,3.6,0.06,0.06,0.06,0.06,0.06,25493839.1205763,24042236.21663041,1451602.9795835223
37,3.7,0.06166666666666667,0.06166666666666667,0.06166666666666667,0.06166666666666667,0.06166666666666667,25345323.91449361,23933486.616661668,1411837.2697508328
38,3.8,0.06333333333333332,0.06333333333333332,0.06333333333333332,0.06333333333333332,0.06333333333333332,25582439.074653357,24077138.923325315,1505300.139171415
39,3.9,0.065,0.065,0.065,0.065,0.065,27237952.24287169,24024343.163432475,3213609.110987556
40,4.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,29793605.498316694,24172584.871006466,5621020.560807795
41,4.1,0.06833333333333333,0.06833333333333333,0.06833333333333333,0.06833333333333333,0.06833333333333333,30638455.04348269,23952178.018121313,6686277.03750024
42,4.2,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.06999999999999999,33784142.482467465,24098583.885163985,9685558.469610011
43,4.3,0.07166666666666667,0.07166666666666667,0.07166666666666667,0.07166666666666667,0.07166666666666667,33303585.088674866,23911433.37882764,9392151.431643879
44,4.4,0.07333333333333333,0.07333333333333333,0.07333333333333333,0.07333333333333333,0.07333333333333333,33694692.93652652,24183870.112420693,9510822.7550001
45,4.5,0.075,0.075,0.075,0.075,0.075,34976806.14937655,24252828.1664417,10723977.786600119
46,4.6,0.07666666666666667,0.07666666666666667,0.07666666666666667,0.07666666666666667,0.07666666666666667,33389001.072506327,24388332.019988466,9000669.097083334
47,4.7,0.07833333333333334,0.07833333333333334,0.07833333333333334,0.07833333333333334,0.07833333333333334,33780758.16813133,23919372.433343552,9861385.784166668
48,4.8,0.08,0.08,0.08,0.08,0.08,33860574.47146466,24339304.166919466,9521270.466666665
49,4.9,0.08166666666666667,0.08166666666666667,0.08166666666666667,0.08166666666666667,0.08166666666666667,33471109.604797997,23793474.420550764,9677635.208333334
50,5.0,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,32799442.388131328,24182210.44724206,8617232.145416666
51,5.1,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999,31726781.84146466,23779176.660587445,7947605.368333334
52,5.2,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.08666666666666667,31395453.838131793,24030074.76721953,7365379.1995838005
53,5.3,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,0.08833333333333333,31005874.40206034,23700770.487285756,7305104.011845691
54,5.4,0.09,0.09,0.09,0.09,0.09,30939898.58011371,23794627.993901294,7145270.817225173
55,5.5,0.09166666666666666,0.09166666666666666,0.09166666666666666,0.09166666666666666,0.09166666666666666,34047937.89699949,23708145.087661766,10339793.036458334
56,5.6,0.09333333333333332,0.09333333333333332,0.09333333333333332,0.09333333333333332,0.09333333333333332,35879442.981582835,23672695.794881053,12206747.217916667
57,5.7,0.095,0.095,0.095,0.095,0.095,34280712.65324949,23609520.462190572,10671192.183333334
