,Unnamed: 0,total_loss,style_loss,content_loss
0,0.0,2614621.0925000003,2614621.0925000003,5.412819245975698e-07
1,0.1,1421599.4300000002,899037.3975,522562.02249999996
2,0.2,1347584.28,963761.2699999999,383823.0025
3,0.3,1482320.3599999999,1007292.4425000001,475027.91375
4,0.4,1153106.3900000001,901430.1300000001,251676.26625000002
5,0.5,1360839.2375,1033717.155,327122.09125
6,0.6,1101653.8824999998,877387.61,224266.268125
7,0.7,1169710.48,863344.4675,306366.02
8,0.8,1178429.8125,951825.675,226604.14375
9,0.9,1101308.5925,844703.32,256605.25687500002
10,1.0,1004313.15,801357.6625,202955.486875
11,1.1,1129490.6475,893484.4125,236006.2396875
12,1.2,1115644.28,919841.2175,195803.04624999998
13,1.3,978908.0925,749758.4349999999,229149.66906249998
14,1.4,939080.1725,775840.9,163239.2771875
15,1.5,1076718.58,892730.0199999999,183988.566875
16,1.6,935601.57,798132.0349999999,137469.5275
17,1.7,1025590.5675000001,808073.3525,217517.2078125
18,1.8,916778.0525,781903.145,134874.895625
19,1.9,939592.96,757833.05,181759.916875
20,2.0,948039.415,807738.7175,140300.7121875
21,2.1,958964.085,755591.67,203372.431875
22,2.2,933698.3225,778809.5525,154888.764375
23,2.3,971542.5349999999,771915.54,199626.9753125
24,2.4,933402.1575,805894.2575000001,127507.91656249999
25,2.5,1057884.9300000002,872325.89625,185559.036875
26,2.6,922872.0775,806809.6,116062.4725
27,2.7,998001.4400000001,802298.005,195703.4378125
28,2.8,922976.0125,796209.78,126766.22406250001
29,2.9,989394.74,791073.9337500001,198320.816875
30,3.0,943791.4349999999,815150.36375,128641.0634375
31,3.1,931543.8474999999,756853.35375,174690.4803125
32,3.2,926384.3300000001,815362.9075,111021.4234375
33,3.3,1020905.6699999999,814081.5,206824.190625
34,3.4,930193.2925000001,798375.135,131818.144375
35,3.5,907829.4400000001,737052.66125,170776.7603125
36,3.6,911262.6575,764140.0,147122.66343749998
37,3.7,994677.9324999999,837502.6975,157175.24625
38,3.8,982400.9525,812282.545,170118.4125
39,3.9,908584.6300000001,748713.4724999999,159871.16375
40,4.0,926611.4525,756780.71375,169830.7484375
41,4.1,1015267.6599999999,837975.9175,177291.7528125
42,4.2,929127.1775,778460.4175,150666.759375
43,4.3,911982.4875,763444.79125,148537.70375000002
44,4.4,946642.0,794172.61625,152469.3875
45,4.5,928973.515,777495.8400000001,151477.6615625
46,4.6,971450.9974999999,834557.025,136893.978125
47,4.7,886237.5325,750101.6775,136135.85375
48,4.8,934703.7025,801066.6849999999,133637.01750000002
49,4.9,919259.93,769794.735,149465.18875
50,5.0,981651.9125,837215.33,144436.58375
51,5.1,905830.625,755427.21875,150403.4109375
52,5.2,948167.8775000001,782109.86625,166058.013125
53,5.3,905498.345,762218.95,143279.40031250002
54,5.4,981897.3949999999,844648.0650000001,137249.3215625
55,5.5,893140.5574999999,761245.9875,131894.57
56,5.6,894197.45,756482.42125,137715.0125
57,5.7,902684.8300000001,747173.2837500001,155511.56156250002
58,5.8,1007639.865,841535.775,166104.0675
59,5.9,873022.4724999999,763055.76625,109966.690625
60,6.0,974889.6849999999,810804.9724999999,164084.739375
61,6.1,873917.96,742501.4575,131416.5178125
62,6.2,940285.4650000001,791634.41625,148651.0575
63,6.3,881531.8925000001,762709.91125,118821.97234374999
64,6.4,957539.8425,786434.6975,171105.1559375
65,6.5,914719.325,779928.4625,134790.85874999998
66,6.6,922569.4550000001,771268.4724999999,151300.97875
67,6.7,890554.7125,772755.7525000001,117798.95656250001
68,6.8,986357.7925000001,840507.9775,145849.821875
69,6.9,868669.165,764177.5075000001,104491.67125
70,7.0,937351.625,805580.27,131771.35109375
71,7.1,872183.425,750064.3025,122119.13500000001
72,7.2,962412.11,799502.8474999999,162909.2496875
73,7.3,862964.905,751394.5475,111570.37625
74,7.4,902658.9625,773745.3,128913.6796875
75,7.5,864025.7525000001,744991.9087500001,119033.8371875
76,7.6,951374.0025000001,792743.20875,158630.78875
77,7.7,883425.5875,756825.335,126600.2471875
78,7.8,941112.7474999999,813575.73375,127537.0225
79,7.9,870720.8225,762550.0675,108170.77093750001
80,8.0,929421.9974999999,807645.82875,121776.1625
81,8.1,848311.8275,755505.11,92806.7109375
82,8.2,927508.2150000001,807132.11,120376.103125
83,8.3,842522.3375,734277.8775000001,108244.46343749999
84,8.4,858380.0800000001,744103.07625,114276.99375
85,8.5,862459.89,750971.71875,111488.1534375
86,8.6,962535.9925,806826.155,155709.831875
87,8.7,876647.6,760902.07625,115745.5184375
88,8.8,904106.32,761412.7737499999,142693.5440625
89,8.9,862989.925,748610.8099999999,114379.128125
90,9.0,930428.9225,820852.8775000001,109576.03656250001
91,9.1,910631.9375,783758.995,126872.928125
92,9.2,867586.0599999999,744189.08,123396.9765625
93,9.3,890693.4974999999,748407.3674999999,142286.133125
94,9.4,891808.4724999999,774706.8474999999,117101.62843750001
95,9.5,892662.0175000001,775807.56125,116854.44921875
96,9.6,899930.1074999999,766471.72375,133458.38468750002
97,9.7,864208.2125,752907.0974999999,111301.1159375
98,9.8,909251.805,786565.30125,122686.495
99,9.9,879874.9275,773573.6375,106301.28656250001
