,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,total_loss,style_loss,content_loss
0,0.0,0.0,0.0,0.0,0.0,465476181.6,465476181.6,9.076327993773333e-06
1,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,66772719889.066666,66716652544.0,56067259.13333333
2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,194268917486.93332,194195959808.0,72957374.0
3,0.05,0.05,0.05,0.05,0.05,273771225088.0,273687211212.8,84013915.26666667
4,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,351545179886.93335,351452456277.3333,92724094.53333333
5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,422188989371.73334,422089575082.6667,99410777.6
6,0.1,0.1,0.1,0.1,0.1,476464286378.6667,476360483908.26666,103802742.4
7,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,520451285538.13336,520343630097.06665,107656315.46666667
8,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,547838928486.4,547728656520.5333,110269815.06666666
9,0.15,0.15,0.15,0.15,0.15,572645475942.4,572533717947.7333,111757543.33333333
10,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,593657674683.7333,593544253713.0667,113423322.93333334
11,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.18333333333333332,609615838139.7333,609501063850.6666,114769754.13333334
12,0.2,0.2,0.2,0.2,0.2,626621601109.3334,626505473501.8667,116131174.8
13,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,637864028842.6666,637746766370.1333,117259245.86666666
14,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,647203423300.2667,647085717367.4667,117708530.93333334
15,0.25,0.25,0.25,0.25,0.25,658571388518.4,658452336913.0667,119051053.2
16,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,665785602321.0667,665666389060.2667,119213228.93333334
17,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,677989106756.2667,677868440780.8,120664948.26666667
18,0.3,0.3,0.3,0.3,0.3,681753388646.4,681632673518.9333,120713972.13333334
19,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665,687946764561.0667,687825950037.3334,120813510.13333334
20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,697998060202.6666,697876427571.2,121636549.06666666
21,0.35,0.35,0.35,0.35,0.35,701347325542.4,701225608806.4,121716017.06666666
22,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,706951318732.8,706829068970.6666,122251937.86666666
23,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.38333333333333336,712660256904.5333,712537539652.2667,122719988.13333334
24,0.4,0.4,0.4,0.4,0.4,715556718728.5333,715434152209.0667,122568524.4
25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,723507737395.2,723383899477.3334,123840373.46666667
26,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,726913538457.6,726789809766.4,123731136.8
27,0.45,0.45,0.45,0.45,0.45,729893506252.8,729769582045.8667,123925765.73333333
28,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,735472733388.8,735348610389.3334,124119704.66666667
29,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,738708816964.2667,738584375022.9333,124444925.6
30,0.5,0.5,0.5,0.5,0.5,742202248396.8,742077717981.8667,124529222.13333334
31,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,747449784729.6,747324420915.2,125360119.73333333
32,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,750146620620.8,750021344187.7333,125276371.33333333
33,0.55,0.55,0.55,0.55,0.55,749882393668.2667,749756866013.8667,125528082.0
34,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,752514273553.0667,752389009134.9333,125265438.53333333
35,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,756568541320.5333,756442617173.3334,125925475.46666667
36,0.6,0.6,0.6,0.6,0.6,760556479010.1333,760430199876.2667,126276940.53333333
37,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,763519384507.7333,763392945902.9333,126442205.33333333
38,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,762206712627.2,762080668330.6666,126047603.2
39,0.65,0.65,0.65,0.65,0.65,768032866304.0,767905737386.6666,127129567.6
40,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,766203851571.2,766077181405.8667,126672866.4
41,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,770216775953.0667,770089761723.7333,127014633.46666667
42,0.7,0.7,0.7,0.7,0.7,772863542340.2667,772736182954.6666,127361568.0
43,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,771315726199.4667,771188905301.3334,126818405.2
