,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,total_loss,style_loss,content_loss
0,0.0,0.0,0.0,0.9543098157527856,0.9543098156542207,9.509907883398227e-10
1,0.1,0.00166666666666666,0.00166666666666666,0.9879059508027664,0.9543096711494339,0.03359626872657921
2,0.2,0.0033333333333333296,0.0033333333333333296,133.18878208983068,0.9543491196007622,132.2344343710256
3,0.3,0.005,0.005,439.0291021347046,0.9544166041413943,438.07469617207846
4,0.4,0.006666666666666659,0.006666666666666659,565.1883373514811,0.9548593595375617,564.2334847005208
5,0.5,0.00833333333333333,0.00833333333333333,481.02860610961915,0.9552159307008454,480.0733928934733
6,0.6,0.01,0.01,424.6405645243327,0.9554356157399404,423.68512980143225
7,0.7,0.01166666666666666,0.01166666666666666,414.5069767252604,0.9555876790976617,413.55138712565105
8,0.8,0.01333333333333333,0.01333333333333333,357.3431479644775,0.9557285727319929,356.3874203491211
9,0.9,0.015,0.015,331.4370218658447,0.9558059775499472,330.481218439738
10,1.0,0.01666666666666666,0.01666666666666666,310.6271138763428,0.9558856122017219,309.67122787475586
11,1.1,0.01833333333333333,0.01833333333333333,293.11247497558594,0.9559442783317837,292.15653147379555
12,1.2,0.02,0.02,271.85968276977536,0.9560041699651629,270.9036784362793
13,1.3,0.02166666666666666,0.02166666666666666,254.14294596354165,0.9560479553897554,253.18689877827964
14,1.4,0.02333333333333333,0.02333333333333333,247.62905242919925,0.9560946090666889,246.6729561360677
15,1.5,0.025,0.025,239.38044802347818,0.9561300101938347,238.42431971232094
16,1.6,0.02666666666666666,0.02666666666666666,228.95936548868812,0.9561646007606759,228.003202234904
17,1.7,0.028333333333333332,0.028333333333333332,217.79861017862953,0.9562071191038315,216.84240295410154
18,1.8,0.03,0.03,219.75314206441243,0.9562490476062522,218.7968890380859
19,1.9,0.03166666666666666,0.03166666666666666,215.83743892669676,0.9562956835950415,214.88114495595295
20,2.0,0.03333333333333333,0.03333333333333333,207.24599210103352,0.9563287995778955,206.28966372172036
21,2.1,0.034999999999999996,0.034999999999999996,204.73334007263185,0.9563706628341848,203.7769692738851
22,2.2,0.03666666666666666,0.03666666666666666,194.3681993865967,0.9563952529461434,193.41180496215821
23,2.3,0.03833333333333333,0.03833333333333333,197.95339303334555,0.9564339128159919,196.9969589996338
24,2.4,0.04,0.04,191.63122500101727,0.9564681587321683,190.6747548421224
25,2.5,0.04166666666666667,0.04166666666666667,184.430119005839,0.9564986099496794,183.47362122853596
26,2.6,0.04333333333333333,0.04333333333333333,179.78280260721843,0.9565391941973939,178.82626441955568
27,2.7,0.045,0.045,177.69662095387775,0.9565761217086888,176.74004561106364
28,2.8,0.04666666666666667,0.04666666666666667,175.25079602559407,0.9566037775498504,174.2941910680135
29,2.9,0.048333333333333325,0.048333333333333325,176.9735599263509,0.9566366164215531,176.01692262013754
30,3.0,0.05,0.05,174.89763234456382,0.9566779132730637,173.94095376332604
31,3.1,0.05166666666666667,0.05166666666666667,169.63789783477782,0.9567080369902154,168.68118900299072
32,3.2,0.05333333333333333,0.05333333333333333,167.74009979248046,0.9567458844409945,166.78335358937582
33,3.3,0.05500000000000001,0.05500000000000001,166.8973314921061,0.9567861980952632,165.9405442047119
34,3.4,0.056666666666666664,0.056666666666666664,169.35666784922282,0.9568154980847613,168.39985323588053
35,3.5,0.058333333333333334,0.058333333333333334,168.85734849294028,0.956860336533282,167.90048805236816
36,3.6,0.06,0.06,165.94160415649415,0.9568968883544826,164.9847091039022
37,3.7,0.06166666666666667,0.06166666666666667,162.86209317525226,0.9569441868473465,161.90514905293782
38,3.8,0.06333333333333332,0.06333333333333332,167.38986021677653,0.9569788342714309,166.43288138071696
39,3.9,0.065,0.065,160.9679482269287,0.957017743306545,160.01092891693116
